split,model,firing_rate,silent_channel_fraction
val_wiki,v0_taiga_100m,0.15365857548183864,0.19002278645833334
val_lit,v0_taiga_100m,0.15526758299933538,0.18953450520833334
val_habr,v0_taiga_100m,0.15102701716952854,0.172119140625
val_wiki,base_1b_74m,0.09525696436564128,0.49072265625
val_lit,base_1b_74m,0.09713323911031087,0.5210774739583334
val_habr,base_1b_74m,0.09596874978807236,0.5071614583333334
val_wiki,sft_v2_superclean,0.09770141707526313,0.4674479166666667
val_lit,sft_v2_superclean,0.09760586420694987,0.4895833333333333
val_habr,sft_v2_superclean,0.0943697558508979,0.4788411458333333
openwebtext,original_en_216m,0.217,0.783
